Date,Open,High,Low,Close,Adj Close,Volume
2007-04-25,306.250000,306.725006,302.000000,305.337006,199.125671,21752404
2007-04-26,306.750000,312.399994,305.000000,310.100006,202.231766,5941756
2007-04-27,308.750000,309.125000,304.312012,308.625000,201.269897,4805284
2007-04-30,310.263000,317.475006,301.250000,316.500000,206.405563,3888052
2007-05-03,318.700012,323.700012,318.138000,322.549988,210.351044,6643028
2007-05-04,324.750000,332.475006,317.250000,318.263000,207.555344,7101200
2007-05-07,320.500000,321.225006,316.287994,318.225006,207.530548,5553328
2007-05-08,317.500000,320.000000,314.312012,316.638000,206.495575,8191004
2007-05-09,325.000000,325.000000,306.250000,309.875000,202.085068,4699828
2007-05-10,311.250000,322.475006,306.500000,307.424988,200.487320,3044200
2007-05-11,312.500000,314.750000,302.500000,313.138000,204.213058,3867656
2007-05-14,319.625000,319.625000,311.524994,312.562012,203.837418,1260376
2007-05-15,315.000000,315.000000,306.250000,309.513000,201.849014,4203120
2007-05-16,316.250000,316.250000,302.638000,306.049988,199.590607,6523616
2007-05-17,308.274994,313.424988,307.500000,312.500000,203.796997,2931260
2007-05-18,314.987000,319.000000,312.500000,313.212006,204.261276,2921004
2007-05-21,317.500000,317.500000,307.500000,309.263000,201.686020,2856844
2007-05-22,309.375000,311.000000,305.263000,307.662994,200.642517,6160224
2007-05-23,310.375000,310.375000,306.274994,308.350006,201.090546,1271812
2007-05-24,312.500000,312.500000,305.250000,306.187988,199.680573,4552804
2007-05-25,305.237000,308.750000,302.000000,307.487000,200.527786,5244168
2007-05-28,312.500000,312.500000,305.888000,306.375000,199.802612,2585172
2007-05-29,306.225006,308.750000,305.000000,307.787994,200.724014,2967280
2007-05-30,312.500000,312.500000,302.549988,303.912994,198.196960,2600056
2007-05-31,307.250000,307.250000,300.000000,302.087006,197.006165,5176492
2007-06-01,307.274994,307.274994,302.787994,304.674988,198.693863,1728988
2007-06-04,307.000000,312.500000,300.500000,302.024994,196.965622,1853384
2007-06-05,304.450012,304.450012,300.000000,302.013000,196.957886,1751600
2007-06-06,303.750000,304.250000,294.549988,300.087006,195.701813,3832020
2007-06-07,300.000000,303.600006,291.325012,301.750000,196.786377,2008940
2007-06-08,301.625000,307.625000,297.500000,305.024994,198.922134,6019076
2007-06-11,309.138000,309.850006,304.513000,305.337006,199.125671,2648136
2007-06-12,302.500000,307.500000,300.000000,304.337006,198.473495,1402072
