Date,Open,High,Low,Close,Adj Close,Volume
2007-04-24,164.822998,169.266998,164.100006,166.503006,90.692039,11551020
2007-04-25,167.266998,168.587006,165.350006,166.182999,90.517731,6743010
2007-04-26,166.800003,169.600006,166.423004,167.690002,91.338593,8114220
2007-04-27,167.332993,167.979996,165.337006,166.009995,90.423492,3735645
2007-04-30,166.332993,166.647003,163.332993,165.856995,90.340172,4525785
2007-05-03,168.000000,171.466995,167.332993,169.296997,92.213882,8081730
2007-05-04,170.466995,170.533005,166.000000,166.473007,90.675705,4941270
2007-05-07,169.242996,169.466995,164.832993,166.100006,90.472527,3598845
2007-05-08,165.979996,167.792999,164.143005,164.807007,89.768250,5473335
2007-05-09,165.000000,165.332993,161.600006,163.272995,88.932693,5364645
2007-05-10,164.932999,165.852997,161.399994,161.953003,88.213722,5768535
2007-05-11,161.919998,164.289993,157.037003,162.470001,88.495308,5553540
2007-05-14,164.000000,166.199997,163.000000,163.403000,89.003502,4119390
2007-05-15,164.526993,168.867004,163.259995,168.052994,91.536301,6901950
2007-05-16,168.667007,173.867004,168.266998,172.917007,94.185661,13047600
2007-05-17,174.466995,177.399994,174.000000,174.990005,95.314812,8951355
2007-05-18,175.733002,176.313004,173.033005,174.889999,95.260315,5068965
2007-05-21,176.000000,177.246994,174.483002,175.626999,95.661766,3535200
2007-05-22,176.332993,179.977005,176.332993,178.600006,97.281128,8514855
2007-05-23,181.667007,183.199997,179.466995,180.882996,98.524635,11902005
2007-05-24,182.973007,183.466995,180.332993,180.653000,98.399345,6408915
2007-05-25,180.000000,181.867004,178.132996,180.186996,98.145515,6928170
2007-05-28,181.332993,185.233002,181.067001,181.867004,99.060600,6764085
2007-05-29,183.266998,192.587006,181.649994,190.496994,103.761284,16812315
2007-05-30,191.000000,194.576996,182.026993,184.520004,100.505684,17411160
2007-05-31,190.399994,191.953003,183.766998,186.546997,101.609741,10630050
2007-06-01,188.000000,191.332993,186.559998,189.167007,103.036819,6359168
2007-06-04,194.412994,194.412994,181.380005,183.153000,99.761055,6635138
2007-06-05,183.600006,186.253006,183.067001,184.832993,100.676155,3954428
2007-06-06,190.373001,190.373001,177.600006,178.593002,97.277306,5629132
2007-06-07,179.960007,180.932999,177.199997,178.287003,97.110626,5134875
2007-06-08,177.427002,178.360001,173.766998,174.787003,95.204224,6948802
2007-06-11,177.332993,177.953003,174.533005,175.520004,95.603485,3316942
2007-06-12,176.667007,177.332993,173.779999,176.186996,95.966789,3687892
2007-06-13,176.932999,176.932999,173.466995,174.740005,95.178619,4251728
2007-06-14,176.932999,180.987000,176.000000,179.753006,97.909134,3401325
2007-06-15,181.332993,187.192993,181.173004,185.559998,101.072144,7656570
2007-06-18,186.399994,188.800003,182.419998,184.132996,100.294861,4981192
2007-06-19,184.667007,188.259995,184.000000,187.500000,102.128822,2190825
2007-06-20,188.000000,192.520004,187.113007,190.106995,103.548828,5967008
2007-06-21,190.653000,199.266998,190.653000,197.740005,107.706413,8157188
2007-06-22,198.667007,199.960007,190.212997,191.820007,104.481880,6869858
2007-06-25,191.820007,195.852997,190.679993,193.440002,105.364265,6016508
2007-06-26,192.667007,197.733002,191.533005,196.419998,106.987427,5880982
2007-06-27,196.000000,196.667007,193.800003,195.199997,106.322906,4190385
2007-06-28,189.807007,201.332993,189.807007,199.147003,108.472816,4219898
2007-06-29,198.619995,205.867004,197.733002,205.046997,111.686455,7503428
2007-07-02,208.000000,211.067001,202.212997,204.000000,111.116188,4024552
2007-07-03,206.533005,208.000000,204.307007,206.246994,112.340080,4751970
2007-07-04,207.466995,207.600006,202.940002,206.033005,112.223534,3546488
2007-07-05,206.000000,208.660004,204.007004,207.639999,113.098824,2705632
2007-07-06,207.639999,210.906998,205.766998,207.212997,112.866249,4128210
2007-07-09,207.339996,212.626999,207.339996,210.546997,114.682198,6454230
2007-07-10,211.332993,212.132996,207.619995,208.759995,113.708870,6397365
2007-07-11,207.600006,213.572998,206.667007,210.087006,114.431648,4118108
2007-07-12,212.399994,219.867004,212.000000,218.932999,119.249992,7847205
2007-07-13,220.000000,228.667007,220.000000,224.766998,122.427681,8232495
2007-07-16,226.253006,226.932999,220.667007,221.460007,120.626419,3847170
2007-07-17,222.759995,223.292999,214.266998,215.787003,117.536400,3962198
2007-07-18,215.360001,219.733002,214.679993,217.593002,118.520096,4328978
